numero,nome,url,tipos,altura_cm,peso_kg,proximas_evolucoes,habilidades
11,Metapod,https://pokemondb.net/pokedex/metapod,Bug,0.7 m (2′04″),9.9 kg (21.8 lbs),"[{'numero': 12, 'nome': 'Butterfree', 'url': 'https://pokemondb.net/pokedex/butterfree'}]","[{'nome': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'efeito': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}]"
12,Butterfree,https://pokemondb.net/pokedex/butterfree,"Bug, Flying",1.1 m (3′07″),32.0 kg (70.5 lbs),[],"[{'nome': 'Compound Eyes', 'desc': 'Raises accuracy.', 'efeito': ""Compound Eyes raises the ability-bearer's accuracy by 30%."", 'url': 'https://pokemondb.net/ability/compound-eyes'}, {'nome': 'Tinted Lens', 'desc': 'Powers up “not very effective” moves.', 'efeito': 'Powers up “not very effective” moves.', 'url': 'https://pokemondb.net/ability/tinted-lens'}]"
13,Weedle,https://pokemondb.net/pokedex/weedle,"Bug, Poison",0.3 m (1′00″),3.2 kg (7.1 lbs),"[{'numero': 14, 'nome': 'Kakuna', 'url': 'https://pokemondb.net/pokedex/kakuna'}, {'numero': 15, 'nome': 'Beedrill', 'url': 'https://pokemondb.net/pokedex/beedrill'}]","[{'nome': 'Shield Dust', 'desc': 'Prevents added effects.', 'efeito': 'Blocks the added effects of attacks taken.', 'url': 'https://pokemondb.net/ability/shield-dust'}, {'nome': 'Run Away', 'desc': 'Makes escaping easier.', 'efeito': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}]"
14,Kakuna,https://pokemondb.net/pokedex/kakuna,"Bug, Poison",0.6 m (2′00″),10.0 kg (22.0 lbs),"[{'numero': 15, 'nome': 'Beedrill', 'url': 'https://pokemondb.net/pokedex/beedrill'}]","[{'nome': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'efeito': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}]"
15,Beedrill,https://pokemondb.net/pokedex/beedrill,"Bug, Poison",1.0 m (3′03″),29.5 kg (65.0 lbs),[],"[{'nome': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'efeito': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Sniper', 'desc': 'Powers up moves if they become critical hits.', 'efeito': 'Sniper increases the power of critical hits by 1.5×. This means a critical hit will deal 2.25× normal damage instead of 1.5×.', 'url': 'https://pokemondb.net/ability/sniper'}, {'nome': 'Adaptability', 'desc': 'Powers up moves of the same type.', 'efeito': 'Adaptability increases the effectiveness of STAB moves from the usual 1.5× to 2×.', 'url': 'https://pokemondb.net/ability/adaptability'}]"
16,Pidgey,https://pokemondb.net/pokedex/pidgey,"Normal, Flying",0.3 m (1′00″),1.8 kg (4.0 lbs),"[{'numero': 17, 'nome': 'Pidgeotto', 'url': 'https://pokemondb.net/pokedex/pidgeotto'}, {'numero': 18, 'nome': 'Pidgeot', 'url': 'https://pokemondb.net/pokedex/pidgeot'}]","[{'nome': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'efeito': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Tangled Feet', 'desc': 'Raises evasion if the Pokémon is confused.', 'efeito': 'Raises evasion if the Pokémon is confused.', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'nome': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'efeito': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}]"
17,Pidgeotto,https://pokemondb.net/pokedex/pidgeotto,"Normal, Flying",1.1 m (3′07″),30.0 kg (66.1 lbs),"[{'numero': 18, 'nome': 'Pidgeot', 'url': 'https://pokemondb.net/pokedex/pidgeot'}]","[{'nome': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'efeito': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Tangled Feet', 'desc': 'Raises evasion if the Pokémon is confused.', 'efeito': 'Raises evasion if the Pokémon is confused.', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'nome': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'efeito': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}]"
18,Pidgeot,https://pokemondb.net/pokedex/pidgeot,"Normal, Flying",1.5 m (4′11″),39.5 kg (87.1 lbs),[],"[{'nome': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'efeito': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Tangled Feet', 'desc': 'Raises evasion if the Pokémon is confused.', 'efeito': 'Raises evasion if the Pokémon is confused.', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'nome': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'efeito': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}, {'nome': 'No Guard', 'desc': 'Ensures the Pokémon and its foe’s attacks land.', 'efeito': 'No Guard ensures that all attacks used by, and targeted at, the ability-bearer hit without fail.', 'url': 'https://pokemondb.net/ability/no-guard'}]"
19,Rattata,https://pokemondb.net/pokedex/rattata,Normal,0.3 m (1′00″),3.5 kg (7.7 lbs),"[{'numero': 20, 'nome': 'Raticate', 'url': 'https://pokemondb.net/pokedex/raticate'}, {'numero': 20, 'nome': 'Raticate', 'url': 'https://pokemondb.net/pokedex/raticate'}]","[{'nome': 'Run Away', 'desc': 'Makes escaping easier.', 'efeito': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}, {'nome': 'Guts', 'desc': 'Ups ATTACK if suffering.', 'efeito': ""Guts raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack."", 'url': 'https://pokemondb.net/ability/guts'}, {'nome': 'Hustle', 'desc': 'Trades accuracy for power.', 'efeito': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}, {'nome': 'Gluttony', 'desc': 'Encourages the early use of a held Berry.', 'efeito': 'A Pokémon with Gluttony will use a pinch berry when its HP drops to 50%, rather than the usual 25%.', 'url': 'https://pokemondb.net/ability/gluttony'}, {'nome': 'Hustle', 'desc': 'Trades accuracy for power.', 'efeito': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}, {'nome': 'Thick Fat', 'desc': 'Heat-and-cold protection.', 'efeito': 'Thick Fat reduces the damage taken from Fire-type and Ice-type moves by 50%.', 'url': 'https://pokemondb.net/ability/thick-fat'}]"
20,Raticate,https://pokemondb.net/pokedex/raticate,Normal,0.7 m (2′04″),18.5 kg (40.8 lbs),"[{'numero': 19, 'nome': 'Rattata', 'url': 'https://pokemondb.net/pokedex/rattata'}]","[{'nome': 'Run Away', 'desc': 'Makes escaping easier.', 'efeito': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}, {'nome': 'Guts', 'desc': 'Ups ATTACK if suffering.', 'efeito': ""Guts raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack."", 'url': 'https://pokemondb.net/ability/guts'}, {'nome': 'Hustle', 'desc': 'Trades accuracy for power.', 'efeito': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}, {'nome': 'Gluttony', 'desc': 'Encourages the early use of a held Berry.', 'efeito': 'A Pokémon with Gluttony will use a pinch berry when its HP drops to 50%, rather than the usual 25%.', 'url': 'https://pokemondb.net/ability/gluttony'}, {'nome': 'Hustle', 'desc': 'Trades accuracy for power.', 'efeito': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}, {'nome': 'Thick Fat', 'desc': 'Heat-and-cold protection.', 'efeito': 'Thick Fat reduces the damage taken from Fire-type and Ice-type moves by 50%.', 'url': 'https://pokemondb.net/ability/thick-fat'}]"
21,Spearow,https://pokemondb.net/pokedex/spearow,"Normal, Flying",0.3 m (1′00″),2.0 kg (4.4 lbs),"[{'numero': 22, 'nome': 'Fearow', 'url': 'https://pokemondb.net/pokedex/fearow'}]","[{'nome': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'efeito': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Sniper', 'desc': 'Powers up moves if they become critical hits.', 'efeito': 'Sniper increases the power of critical hits by 1.5×. This means a critical hit will deal 2.25× normal damage instead of 1.5×.', 'url': 'https://pokemondb.net/ability/sniper'}]"
22,Fearow,https://pokemondb.net/pokedex/fearow,"Normal, Flying",1.2 m (3′11″),38.0 kg (83.8 lbs),[],"[{'nome': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'efeito': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Sniper', 'desc': 'Powers up moves if they become critical hits.', 'efeito': 'Sniper increases the power of critical hits by 1.5×. This means a critical hit will deal 2.25× normal damage instead of 1.5×.', 'url': 'https://pokemondb.net/ability/sniper'}]"
23,Ekans,https://pokemondb.net/pokedex/ekans,Poison,2.0 m (6′07″),6.9 kg (15.2 lbs),"[{'numero': 24, 'nome': 'Arbok', 'url': 'https://pokemondb.net/pokedex/arbok'}]","[{'nome': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'efeito': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'nome': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'efeito': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'nome': 'Unnerve', 'desc': 'Makes the foe nervous and unable to eat Berries.', 'efeito': 'Makes the foe nervous and unable to eat Berries.', 'url': 'https://pokemondb.net/ability/unnerve'}]"
24,Arbok,https://pokemondb.net/pokedex/arbok,Poison,3.5 m (11′06″),65.0 kg (143.3 lbs),[],"[{'nome': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'efeito': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'nome': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'efeito': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'nome': 'Unnerve', 'desc': 'Makes the foe nervous and unable to eat Berries.', 'efeito': 'Makes the foe nervous and unable to eat Berries.', 'url': 'https://pokemondb.net/ability/unnerve'}]"
25,Pikachu,https://pokemondb.net/pokedex/pikachu,Electric,0.4 m (1′04″),6.0 kg (13.2 lbs),"[{'numero': 26, 'nome': 'Raichu', 'url': 'https://pokemondb.net/pokedex/raichu'}, {'numero': 26, 'nome': 'Raichu', 'url': 'https://pokemondb.net/pokedex/raichu'}]","[{'nome': 'Static', 'desc': 'Paralyzes on contact.', 'efeito': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'nome': 'Lightning Rod', 'desc': 'Draws electrical moves.', 'efeito': 'Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/lightning-rod'}]"
26,Raichu,https://pokemondb.net/pokedex/raichu,Electric,0.8 m (2′07″),30.0 kg (66.1 lbs),[],"[{'nome': 'Static', 'desc': 'Paralyzes on contact.', 'efeito': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'nome': 'Lightning Rod', 'desc': 'Draws electrical moves.', 'efeito': 'Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/lightning-rod'}, {'nome': 'Surge Surfer', 'desc': 'Doubles the Pokémon’s Speed stat on Electric Terrain.', 'efeito': ""Surge Surfer doubles the bearer's Speed when Electric Terrain is active."", 'url': 'https://pokemondb.net/ability/surge-surfer'}]"
27,Sandshrew,https://pokemondb.net/pokedex/sandshrew,Ground,0.6 m (2′00″),12.0 kg (26.5 lbs),"[{'numero': 28, 'nome': 'Sandslash', 'url': 'https://pokemondb.net/pokedex/sandslash'}, {'numero': 28, 'nome': 'Sandslash', 'url': 'https://pokemondb.net/pokedex/sandslash'}]","[{'nome': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'efeito': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}, {'nome': 'Sand Rush', 'desc': 'Boosts the Pokémon’s Speed in a sandstorm.', 'efeito': ""Sand Rush doubles the ability-bearer's Speed during a sandstorm."", 'url': 'https://pokemondb.net/ability/sand-rush'}, {'nome': 'Snow Cloak', 'desc': 'Raises evasion in a hailstorm.', 'efeito': ""Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type)."", 'url': 'https://pokemondb.net/ability/snow-cloak'}, {'nome': 'Slush Rush', 'desc': 'Boosts the Pokémon’s Speed stat in a hailstorm.', 'efeito': ""Boosts the Pokémon's Speed stat in a hailstorm."", 'url': 'https://pokemondb.net/ability/slush-rush'}]"
28,Sandslash,https://pokemondb.net/pokedex/sandslash,Ground,1.0 m (3′03″),29.5 kg (65.0 lbs),"[{'numero': 27, 'nome': 'Sandshrew', 'url': 'https://pokemondb.net/pokedex/sandshrew'}]","[{'nome': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'efeito': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}, {'nome': 'Sand Rush', 'desc': 'Boosts the Pokémon’s Speed in a sandstorm.', 'efeito': ""Sand Rush doubles the ability-bearer's Speed during a sandstorm."", 'url': 'https://pokemondb.net/ability/sand-rush'}, {'nome': 'Snow Cloak', 'desc': 'Raises evasion in a hailstorm.', 'efeito': ""Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type)."", 'url': 'https://pokemondb.net/ability/snow-cloak'}, {'nome': 'Slush Rush', 'desc': 'Boosts the Pokémon’s Speed stat in a hailstorm.', 'efeito': ""Boosts the Pokémon's Speed stat in a hailstorm."", 'url': 'https://pokemondb.net/ability/slush-rush'}]"
29,Nidoran♀,https://pokemondb.net/pokedex/nidoran-f,Poison,0.4 m (1′04″),7.0 kg (15.4 lbs),"[{'numero': 30, 'nome': 'Nidorina', 'url': 'https://pokemondb.net/pokedex/nidorina'}, {'numero': 31, 'nome': 'Nidoqueen', 'url': 'https://pokemondb.net/pokedex/nidoqueen'}]","[{'nome': 'Poison Point', 'desc': 'Poisons foe on contact.', 'efeito': 'Contact with the Pokémon may poison the attacker.', 'url': 'https://pokemondb.net/ability/poison-point'}, {'nome': 'Rivalry', 'desc': 'Raises Attack if the foe is of the same gender.', 'efeito': 'Deals more damage to a Pokémon of same gender.', 'url': 'https://pokemondb.net/ability/rivalry'}, {'nome': 'Hustle', 'desc': 'Trades accuracy for power.', 'efeito': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}]"
30,Nidorina,https://pokemondb.net/pokedex/nidorina,Poison,0.8 m (2′07″),20.0 kg (44.1 lbs),"[{'numero': 31, 'nome': 'Nidoqueen', 'url': 'https://pokemondb.net/pokedex/nidoqueen'}]","[{'nome': 'Poison Point', 'desc': 'Poisons foe on contact.', 'efeito': 'Contact with the Pokémon may poison the attacker.', 'url': 'https://pokemondb.net/ability/poison-point'}, {'nome': 'Rivalry', 'desc': 'Raises Attack if the foe is of the same gender.', 'efeito': 'Deals more damage to a Pokémon of same gender.', 'url': 'https://pokemondb.net/ability/rivalry'}, {'nome': 'Hustle', 'desc': 'Trades accuracy for power.', 'efeito': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}]"
31,Nidoqueen,https://pokemondb.net/pokedex/nidoqueen,"Poison, Ground",1.3 m (4′03″),60.0 kg (132.3 lbs),[],"[{'nome': 'Poison Point', 'desc': 'Poisons foe on contact.', 'efeito': 'Contact with the Pokémon may poison the attacker.', 'url': 'https://pokemondb.net/ability/poison-point'}, {'nome': 'Rivalry', 'desc': 'Raises Attack if the foe is of the same gender.', 'efeito': 'Deals more damage to a Pokémon of same gender.', 'url': 'https://pokemondb.net/ability/rivalry'}, {'nome': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'efeito': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}]"
32,Nidoran♂,https://pokemondb.net/pokedex/nidoran-m,Poison,0.5 m (1′08″),9.0 kg (19.8 lbs),"[{'numero': 33, 'nome': 'Nidorino', 'url': 'https://pokemondb.net/pokedex/nidorino'}, {'numero': 34, 'nome': 'Nidoking', 'url': 'https://pokemondb.net/pokedex/nidoking'}]","[{'nome': 'Poison Point', 'desc': 'Poisons foe on contact.', 'efeito': 'Contact with the Pokémon may poison the attacker.', 'url': 'https://pokemondb.net/ability/poison-point'}, {'nome': 'Rivalry', 'desc': 'Raises Attack if the foe is of the same gender.', 'efeito': 'Deals more damage to a Pokémon of same gender.', 'url': 'https://pokemondb.net/ability/rivalry'}, {'nome': 'Hustle', 'desc': 'Trades accuracy for power.', 'efeito': ""Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%."", 'url': 'https://pokemondb.net/ability/hustle'}]"
