altura_cm,habilidades,nome,numero,peso_kg,proximas_evolucoes,tipos,url
0.8 m (2′07″),"[{'nome': 'Hydration', 'desc': 'Heals status problems if it is raining.', 'efeito': 'A Pokémon with Hydration will cure itself of any status conditions during rain, at the end of each turn. This includes self-inflicted conditions such as from using Rest.', 'url': 'https://pokemondb.net/ability/hydration'}, {'nome': 'Sticky Hold', 'desc': 'Prevents item theft.', 'efeito': 'Sticky Hold prevents held items from being taken or switched.', 'url': 'https://pokemondb.net/ability/sticky-hold'}, {'nome': 'Unburden', 'desc': 'Raises Speed if a held item is used.', 'efeito': 'Raises Speed if a held item is used.', 'url': 'https://pokemondb.net/ability/unburden'}]",Accelgor,617,25.3 kg (55.8 lbs),,Bug,https://pokemondb.net/pokedex/accelgor
0.3 m (1′00″),"[{'nome': 'Overgrow', 'desc': 'Ups GRASS moves in a pinch.', 'efeito': ""Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/overgrow'}, {'nome': 'Long Reach', 'desc': 'The Pokémon uses its moves without making contact with the target.', 'efeito': 'The Pokémon uses its moves without making contact with the target.', 'url': 'https://pokemondb.net/ability/long-reach'}]",Rowlet,722,1.5 kg (3.3 lbs),"[{'numero': 723, 'nome': 'Dartrix', 'url': 'https://pokemondb.net/pokedex/dartrix'}, {'numero': 724, 'nome': 'Decidueye', 'url': 'https://pokemondb.net/pokedex/decidueye'}, {'numero': 724, 'nome': 'Decidueye', 'url': 'https://pokemondb.net/pokedex/decidueye'}]","Grass, Flying",https://pokemondb.net/pokedex/rowlet
0.9 m (2′11″),"[{'nome': 'Leaf Guard', 'desc': 'Prevents status problems in sunny weather.', 'efeito': 'Leaf Guard prevents the bearer from succumbing to major status ailments (sleep, burns, poisoning, paralysis or freezing) during sunny weather.', 'url': 'https://pokemondb.net/ability/leaf-guard'}, {'nome': 'Contrary', 'desc': 'Makes stat changes have an opposite effect.', 'efeito': 'Makes stat changes have an opposite effect.', 'url': 'https://pokemondb.net/ability/contrary'}]",Lurantis,754,18.5 kg (40.8 lbs),,Grass,https://pokemondb.net/pokedex/lurantis
0.5 m (1′08″),"[{'nome': 'Magician', 'desc': 'The Pokémon steals the held item of a Pokémon it hits with a move.', 'efeito': 'The Pokémon steals the held item of a Pokémon it hits with a move.', 'url': 'https://pokemondb.net/ability/magician'}, {'nome': 'Magician', 'desc': 'The Pokémon steals the held item of a Pokémon it hits with a move.', 'efeito': 'The Pokémon steals the held item of a Pokémon it hits with a move.', 'url': 'https://pokemondb.net/ability/magician'}]",Hoopa,720,9.0 kg (19.8 lbs),,"Psychic, Ghost",https://pokemondb.net/pokedex/hoopa
0.3 m (1′00″),"[{'nome': 'Leaf Guard', 'desc': 'Prevents status problems in sunny weather.', 'efeito': 'Leaf Guard prevents the bearer from succumbing to major status ailments (sleep, burns, poisoning, paralysis or freezing) during sunny weather.', 'url': 'https://pokemondb.net/ability/leaf-guard'}, {'nome': 'Contrary', 'desc': 'Makes stat changes have an opposite effect.', 'efeito': 'Makes stat changes have an opposite effect.', 'url': 'https://pokemondb.net/ability/contrary'}]",Fomantis,753,1.5 kg (3.3 lbs),"[{'numero': 754, 'nome': 'Lurantis', 'url': 'https://pokemondb.net/pokedex/lurantis'}]",Grass,https://pokemondb.net/pokedex/fomantis
0.3 m (1′00″),"[{'nome': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'efeito': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Infiltrator', 'desc': 'Passes through the foe’s barrier and strikes.', 'efeito': 'Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them.', 'url': 'https://pokemondb.net/ability/infiltrator'}, {'nome': 'Own Tempo', 'desc': 'Prevents confusion.', 'efeito': 'Prevents the Pokémon from becoming confused.', 'url': 'https://pokemondb.net/ability/own-tempo'}]",Espurr,677,3.5 kg (7.7 lbs),"[{'numero': 678, 'nome': 'Meowstic', 'url': 'https://pokemondb.net/pokedex/meowstic'}, {'numero': 678, 'nome': 'Meowstic', 'url': 'https://pokemondb.net/pokedex/meowstic'}]",Psychic,https://pokemondb.net/pokedex/espurr
0.8 m (2′07″),"[{'nome': 'Gulp Missile', 'desc': 'When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.', 'efeito': 'Gulp Missile is the signature ability of Cramorant. If Cramorant uses the move Surf or Dive, it returns with a fish in its mouth. If Cramorant then takes damage, it retaliates by spitting out the fish, dealing extra damage.', 'url': 'https://pokemondb.net/ability/gulp-missile'}]",Cramorant,845,18.0 kg (39.7 lbs),,"Flying, Water",https://pokemondb.net/pokedex/cramorant
0.2 m (0′08″),"[{'nome': 'Illuminate', 'desc': 'Encounter rate increases.', 'efeito': 'Illuminate has no effect in battle.', 'url': 'https://pokemondb.net/ability/illuminate'}, {'nome': 'Effect Spore', 'desc': 'Leaves spores on contact.', 'efeito': 'Contact may poison or cause paralysis or sleep.', 'url': 'https://pokemondb.net/ability/effect-spore'}, {'nome': 'Rain Dish', 'desc': 'Slight HP recovery in rain.', 'efeito': 'A Pokémon with Rain Dish will recover 1⁄16 of its maximum HP during rain, after each turn.', 'url': 'https://pokemondb.net/ability/rain-dish'}]",Morelull,755,1.5 kg (3.3 lbs),"[{'numero': 756, 'nome': 'Shiinotic', 'url': 'https://pokemondb.net/pokedex/shiinotic'}]","Grass, Fairy",https://pokemondb.net/pokedex/morelull
1.8 m (5′11″),"[{'nome': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'efeito': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.', 'url': 'https://pokemondb.net/ability/quark-drive'}]",Iron Hands,992,380.7 kg (839.3 lbs),,"Fighting, Electric",https://pokemondb.net/pokedex/iron-hands
0.6 m (2′00″),"[{'nome': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'efeito': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.', 'url': 'https://pokemondb.net/ability/quark-drive'}]",Iron Bundle,991,11.0 kg (24.3 lbs),,"Ice, Water",https://pokemondb.net/pokedex/iron-bundle
5.2 m (17′01″),"[{'nome': 'Protosynthesis', 'desc': 'Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.', 'efeito': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.', 'url': 'https://pokemondb.net/ability/protosynthesis'}]",Raging Bolt,1021,480.0 kg (1058.2 lbs),,"Electric, Dragon",https://pokemondb.net/pokedex/raging-bolt
1.6 m (5′03″),"[{'nome': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'efeito': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Unaware', 'desc': 'Ignores any change in ability by the foe.', 'efeito': 'Ignores any stat changes in the Pokémon.', 'url': 'https://pokemondb.net/ability/unaware'}]",Skeledirge,911,326.5 kg (719.8 lbs),,"Fire, Ghost",https://pokemondb.net/pokedex/skeledirge
1.0 m (3′03″),"[{'nome': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'efeito': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Unaware', 'desc': 'Ignores any change in ability by the foe.', 'efeito': 'Ignores any stat changes in the Pokémon.', 'url': 'https://pokemondb.net/ability/unaware'}]",Crocalor,910,30.7 kg (67.7 lbs),"[{'numero': 911, 'nome': 'Skeledirge', 'url': 'https://pokemondb.net/pokedex/skeledirge'}]",Fire,https://pokemondb.net/pokedex/crocalor
1.9 m (6′03″),"[{'nome': 'Unseen Fist', 'desc': 'If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.', 'efeito': 'Contact moves can strike through Protect/Detect.', 'url': 'https://pokemondb.net/ability/unseen-fist'}, {'nome': 'Unseen Fist', 'desc': 'If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.', 'efeito': 'Contact moves can strike through Protect/Detect.', 'url': 'https://pokemondb.net/ability/unseen-fist'}]",Urshifu,892,105.0 kg (231.5 lbs),,"Fighting, Dark",https://pokemondb.net/pokedex/urshifu
0.2 m (0′08″),"[{'nome': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'efeito': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Unnerve', 'desc': 'Makes the foe nervous and unable to eat Berries.', 'efeito': 'Makes the foe nervous and unable to eat Berries.', 'url': 'https://pokemondb.net/ability/unnerve'}, {'nome': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'efeito': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}]",Rookidee,821,1.8 kg (4.0 lbs),"[{'numero': 822, 'nome': 'Corvisquire', 'url': 'https://pokemondb.net/pokedex/corvisquire'}, {'numero': 823, 'nome': 'Corviknight', 'url': 'https://pokemondb.net/pokedex/corviknight'}]",Flying,https://pokemondb.net/pokedex/rookidee
1.6 m (5′03″),"[{'nome': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'efeito': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.', 'url': 'https://pokemondb.net/ability/quark-drive'}]",Iron Crown,1023,156.0 kg (343.9 lbs),,"Steel, Psychic",https://pokemondb.net/pokedex/iron-crown
2.2 m (7′03″),"[{'nome': 'Pressure', 'desc': 'Raises foe’s PP usage.', 'efeito': 'Pressure makes any attack targeted at the ability-bearer - regardless of whether it hits - use 2 PP instead of 1.', 'url': 'https://pokemondb.net/ability/pressure'}, {'nome': 'Unnerve', 'desc': 'Makes the foe nervous and unable to eat Berries.', 'efeito': 'Makes the foe nervous and unable to eat Berries.', 'url': 'https://pokemondb.net/ability/unnerve'}, {'nome': 'Mirror Armor', 'desc': 'Bounces back only the stat-lowering effects that the Pokémon receives.', 'efeito': 'Reflects any stat-lowering effects.', 'url': 'https://pokemondb.net/ability/mirror-armor'}]",Corviknight,823,75.0 kg (165.3 lbs),,"Flying, Steel",https://pokemondb.net/pokedex/corviknight
3.0 m (9′10″),"[{'nome': 'Battle Armor', 'desc': 'Blocks critical hits.', 'efeito': 'Battle Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/battle-armor'}, {'nome': 'Defiant', 'desc': 'When its stats are lowered its Attack increases.', 'efeito': ""Defiant raises the ability-bearer's Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/defiant'}]",Falinks,870,62.0 kg (136.7 lbs),,Fighting,https://pokemondb.net/pokedex/falinks
3.5 m (11′06″),"[{'nome': 'Protosynthesis', 'desc': 'Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.', 'efeito': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.', 'url': 'https://pokemondb.net/ability/protosynthesis'}]",Gouging Fire,1020,590.0 kg (1300.7 lbs),,"Fire, Dragon",https://pokemondb.net/pokedex/gouging-fire
0.9 m (2′11″),"[{'nome': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'efeito': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.', 'url': 'https://pokemondb.net/ability/quark-drive'}]",Iron Treads,990,240.0 kg (529.1 lbs),,"Ground, Steel",https://pokemondb.net/pokedex/iron-treads
0.3 m (1′00″),"[{'nome': 'Poison Puppeteer', 'desc': None, 'efeito': 'Pokémon poisoned by Pecharunt’s moves will also become confused.', 'url': 'https://pokemondb.net/ability/poison-puppeteer'}]",Pecharunt,1025,0.3 kg (0.7 lbs),,"Poison, Ghost",https://pokemondb.net/pokedex/pecharunt
1.5 m (4′11″),"[{'nome': 'Quark Drive', 'desc': 'Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.', 'efeito': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.', 'url': 'https://pokemondb.net/ability/quark-drive'}]",Iron Boulder,1022,162.5 kg (358.3 lbs),,"Rock, Psychic",https://pokemondb.net/pokedex/iron-boulder
0.5 m (1′08″),"[{'nome': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'efeito': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Vital Spirit', 'desc': 'Prevents sleep.', 'efeito': 'Vital Spirit prevents the ability-bearer from falling asleep. This means that it also prevents the use of the move Rest.', 'url': 'https://pokemondb.net/ability/vital-spirit'}, {'nome': 'Steadfast', 'desc': 'Raises Speed each time the Pokémon flinches.', 'efeito': 'Raises Speed each time the Pokémon flinches.', 'url': 'https://pokemondb.net/ability/steadfast'}, {'nome': 'Own Tempo', 'desc': 'Prevents confusion.', 'efeito': 'Prevents the Pokémon from becoming confused.', 'url': 'https://pokemondb.net/ability/own-tempo'}]",Rockruff,744,9.2 kg (20.3 lbs),"[{'numero': 745, 'nome': 'Lycanroc', 'url': 'https://pokemondb.net/pokedex/lycanroc'}, {'numero': 745, 'nome': 'Lycanroc', 'url': 'https://pokemondb.net/pokedex/lycanroc'}, {'numero': 745, 'nome': 'Lycanroc', 'url': 'https://pokemondb.net/pokedex/lycanroc'}]",Rock,https://pokemondb.net/pokedex/rockruff
0.8 m (2′07″),"[{'nome': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'efeito': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Unnerve', 'desc': 'Makes the foe nervous and unable to eat Berries.', 'efeito': 'Makes the foe nervous and unable to eat Berries.', 'url': 'https://pokemondb.net/ability/unnerve'}, {'nome': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'efeito': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}]",Corvisquire,822,16.0 kg (35.3 lbs),"[{'numero': 823, 'nome': 'Corviknight', 'url': 'https://pokemondb.net/pokedex/corviknight'}]",Flying,https://pokemondb.net/pokedex/corvisquire
1.8 m (5′11″),"[{'nome': 'Water Bubble', 'desc': 'Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.', 'efeito': 'Water Bubble reduces damage taken from Fire-type moves by 50%, and doubles the power of Water-type moves used by the ability-bearer. It also prevents the Pokémon from being burned.', 'url': 'https://pokemondb.net/ability/water-bubble'}, {'nome': 'Water Absorb', 'desc': 'Changes water into HP.', 'efeito': 'A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}]",Araquanid,752,82.0 kg (180.8 lbs),,"Water, Bug",https://pokemondb.net/pokedex/araquanid
0.3 m (1′00″),"[{'nome': 'Run Away', 'desc': 'Makes escaping easier.', 'efeito': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}, {'nome': 'Pickup', 'desc': 'May pick up items.', 'efeito': 'When another Pokémon on the field uses a single-use held item, a Pokémon with Pickup will obtain the used item (if they are not already holding anything) and it can be used again.', 'url': 'https://pokemondb.net/ability/pickup'}, {'nome': 'Own Tempo', 'desc': 'Prevents confusion.', 'efeito': 'Prevents the Pokémon from becoming confused.', 'url': 'https://pokemondb.net/ability/own-tempo'}]",Tandemaus,924,1.8 kg (4.0 lbs),"[{'numero': 925, 'nome': 'Maushold', 'url': 'https://pokemondb.net/pokedex/maushold'}, {'numero': 925, 'nome': 'Maushold', 'url': 'https://pokemondb.net/pokedex/maushold'}]",Normal,https://pokemondb.net/pokedex/tandemaus
